V1,V2,V3,V4,V5,V6,V7,V8,V9,Y1,Y2,Y3,Y
0.64,0.58394876,0.58394876,0.58394876,0.58394876,0.056728427,0.051834514,0.055307133,0.048458861,0,1,1,6
0.373333333,0.600990025,0.600990025,0.600990025,0.600990025,0.018758761,0.023834971,0.01667125,0.017474647,0,0,0,0
0.426666667,0.604845587,0.604845587,0.604845587,0.604845587,0.07123961,0.072610425,0.066238132,0.062790545,0,0,1,4
0.813333333,0.395763535,0.395763535,0.395763535,0.395763535,0.047657469,0.044270951,0.039543997,0.03664323,0,0,0,0
0.146666667,0.38402437,0.38402437,0.38402437,0.38402437,0.06919812,0.069419105,0.074715686,0.073089583,1,1,0,3
0.24,0.44479732,0.44479732,0.44479732,0.44479732,0.061183441,0.055547647,0.057767092,0.050396273,1,0,0,1
0.96,0.594489745,0.594489745,0.594489745,0.594489745,0.057793361,0.055079439,0.05030057,0.04728491,0,1,1,6
0.293333333,0.551616873,0.551616873,0.551616873,0.551616873,0.073870851,0.069141574,0.065814224,0.058814809,1,1,1,7
0.173333333,0.467175412,0.467175412,0.467175412,0.467175412,0.05374941,0.049680436,0.056433,0.050852968,1,0,0,1
0.013333333,0.60470126,0.60470126,0.60470126,0.60470126,0.744326417,0.746148603,0.749700357,0.751565775,0,1,1,6
0.76,0.309943932,0.309943932,0.309943932,0.309943932,0.057776169,0.052848334,0.055608301,0.048373429,1,0,1,5
0.266666667,0.316674856,0.316674856,0.316674856,0.316674856,0.073561283,0.066178669,0.06986534,0.060651996,1,1,1,7
0.493333333,0.530744894,0.530744894,0.530744894,0.530744894,0.054392925,0.055657354,0.052523172,0.049240637,0,0,1,4
0.96,0.456344695,0.456344695,0.456344695,0.456344695,0.076433695,0.072375945,0.066039847,0.061735578,1,1,1,7
0.533333333,0.791910001,0.791910001,0.791910001,0.791910001,0.060927457,0.057379904,0.060381025,0.05364566,0,1,1,6
0.106666667,0.301386552,0.301386552,0.301386552,0.301386552,0.132386201,0.135919418,0.137140112,0.138806143,1,0,0,1
0.693333333,0.353906349,0.353906349,0.353906349,0.353906349,0.056710202,0.052579618,0.055972382,0.049092143,1,1,1,7
0.32,0.427732028,0.427732028,0.427732028,0.427732028,0.05405778,0.053107026,0.047311283,0.043796358,1,0,0,1
